Date,AMZN,GOOG,AAPL
2016-09-30,837.309998,777.289978,111.090431
2016-09-29,829.049988,775.01001,110.235504
2016-09-28,828.719971,781.559998,111.974823
2016-09-27,816.109985,783.01001,111.129723
2016-09-26,799.159973,774.210022,110.923363
2016-09-23,805.75,786.900024,110.756317
2016-09-22,804.700012,787.210022,112.633217
2016-09-21,789.73999,776.219971,111.581757
2016-09-20,780.219971,771.409973,111.60141
2016-09-19,775.099976,765.700012,111.611237
2016-09-16,778.52002,768.880005,112.928009
2016-09-15,769.690002,771.76001,113.566742
2016-09-14,761.090027,762.48999,109.832603
2016-09-13,761.01001,759.690002,106.078827
2016-09-12,771.48999,769.02002,103.612335
2016-09-09,760.140015,759.659973,101.342369
2016-09-08,784.059998,775.320007,103.690956
2016-09-07,784.47998,780.349976,106.48172
2016-09-06,788.869995,780.080017,105.833153
2016-09-02,772.440002,771.460022,105.862648
2016-09-01,770.619995,768.780029,104.879982
2016-08-31,769.159973,767.049988,104.260887
2016-08-30,767.580017,769.090027,104.162621
2016-08-29,771.289978,772.150024,104.968414
2016-08-26,769,769.539978,105.086334
2016-08-25,759.219971,769.409973,105.705414
2016-08-24,757.25,769.640015,106.15744
2016-08-23,762.450012,772.080017,106.963219
2016-08-22,759.47998,772.150024,106.62912
2016-08-19,757.309998,775.419983,107.464386
2016-08-18,764.460022,777.5,107.189247
2016-08-17,764.630005,779.909973,107.32682
2016-08-16,764.039978,777.140015,107.484032
2016-08-15,768.48999,782.440002,107.582306
2016-08-12,772.559998,783.219971,106.30484
2016-08-11,771.23999,784.849976,106.059174
2016-08-10,768.559998,784.679993,106.12796
2016-08-09,768.309998,784.26001,106.92392
2016-08-08,766.559998,781.76001,106.491547
2016-08-05,765.97998,782.219971,105.616966
2016-08-04,760.77002,771.609985,104.034889
2016-08-03,754.640015,773.179993,103.396149
2016-08-02,760.580017,771.070007,102.115791
2016-08-01,767.73999,772.880005,103.650261
2016-07-29,758.809998,768.789978,101.851898
2016-07-28,752.609985,745.909973,101.978951
2016-07-27,736.669983,741.77002,100.620415
