Date,IBM,T,NKE,AAPL
9/30/16,158.850006,40.610001,52.650002,113.050003
9/29/16,158.110001,40.73,52.16,112.18
9/28/16,158.289993,40.849998,53.25,113.949997
9/27/16,156.770004,41.459999,55.34,113.089996
9/26/16,153.979996,41.139999,54.400002,112.879997
9/23/16,154.979996,41.279999,55.150002,112.709999
9/22/16,156.110001,41.110001,55.41,114.620003
9/21/16,155.529999,40.57,55.34,113.550003
9/20/16,154.449997,39.959999,54.869999,113.57
9/19/16,154.869995,40.060001,54.950001,113.580002
9/16/16,153.839996,40.200001,55.18,114.919998
9/15/16,155.660004,40.450001,55.470001,115.57
9/14/16,154.050003,39.889999,55.130001,111.769997
9/13/16,155.809998,39.970001,55.369999,107.949997
9/12/16,158.289993,40.709999,56.009998,105.440002
9/9/16,155.690002,39.709999,55.330002,103.129997
9/8/16,159,41.189999,56.169998,105.519997
9/7/16,161.639999,41.27,57.720001,108.360001
9/6/16,160.350006,41.23,57.41,107.699997
9/2/16,159.550003,40.950001,58.02,107.730003
9/1/16,159.539993,40.959999,58.540001,106.730003
8/31/16,158.880005,40.880001,57.639999,106.099998
8/30/16,159.399994,40.889999,58,106
8/29/16,159.720001,41,58.630001,106.82
8/26/16,158.320007,40.68,59,106.940002
8/25/16,158.630005,41.07,59.240002,107.57
8/24/16,159.050003,40.869999,60.220001,108.029999
8/23/16,160.259995,40.849998,59.619999,108.849998
8/22/16,160,40.91,58.66,108.510002
8/19/16,160.039993,41.009998,58.900002,109.360001
8/18/16,161.360001,41.400002,57.209999,109.080002
8/17/16,160.440002,41.860001,56.860001,109.220001
8/16/16,160.699997,41.959999,56.880001,109.379997
8/15/16,161.880005,43.02,56.77,109.480003
8/12/16,161.949997,43.279999,56.450001,108.18
8/11/16,163.529999,43.389999,56.73,107.93
8/10/16,162.080002,43.200001,55.130001,108
8/9/16,161.770004,43.080002,55.77,108.809998
8/8/16,162.039993,42.93,55.98,108.370003
8/5/16,163.5,43.16,55.849998,107.480003
8/4/16,161.550003,43.080002,54.790001,105.870003
8/3/16,160.669998,43.139999,54.75,105.790001
8/2/16,160.580002,43.16,54.919998,104.480003
8/1/16,161.449997,43.18,55.41,106.050003
7/29/16,160.619995,43.290001,55.5,104.209999
7/28/16,161.369995,42.580002,55.450001,104.339996
7/27/16,161.830002,42.759998,55.790001,102.949997
7/26/16,162.119995,42.380001,56.369999,96.669998
7/25/16,162.649994,42.939999,57.139999,97.339996
7/22/16,162.070007,43.110001,56.73,98.660004
7/21/16,160.449997,42.52,56.990002,99.43
7/20/16,161.360001,42.709999,57.759998,99.959999
7/19/16,159.580002,42.77,57.759998,99.870003
7/18/16,159.860001,42.849998,57.740002,99.830002
7/15/16,159.779999,42.889999,57.869999,98.779999
7/14/16,160.279999,42.77,58.490002,98.790001
7/13/16,158.020004,42.59,57.990002,96.870003
7/12/16,157.039993,42.41,58.060001,97.419998
7/11/16,155.330002,42.509998,56.830002,96.980003
7/8/16,154.460007,42.610001,56.720001,96.68
7/7/16,152.600006,42.299999,55.919998,95.940002
7/6/16,152.369995,43.099998,55.799999,95.529999
7/5/16,151.679993,43.349998,55.200001,94.989998
7/1/16,152.350006,43.470001,55.610001,95.889999
6/30/16,151.779999,43.209999,55.200001,95.599998
6/29/16,148.460007,42.540001,55.130001,94.400002
6/28/16,145.699997,42.02,53.09,93.589996
6/27/16,143.5,42.029999,51.889999,92.040001
6/24/16,146.589996,41.52,52.59,93.400002
6/23/16,155.350006,41.880001,54.119999,96.099998
6/22/16,152.919998,41.299999,54.57,95.550003
6/21/16,154.050003,41.07,54.77,95.910004
6/20/16,153.610001,40.779999,54.360001,95.099998
6/17/16,151.990005,40.73,53.709999,95.330002
6/16/16,151.059998,40.490002,53.470001,97.550003
6/15/16,150.679993,40.290001,54.310001,97.139999
6/14/16,151.059998,40.380001,54.119999,97.459999
6/13/16,151.279999,40.189999,54.91,97.339996
6/10/16,152.369995,40.330002,55.110001,98.830002
6/9/16,153.419998,40.09,54.939999,99.650002
6/8/16,154,39.860001,54.119999,98.940002
6/7/16,153.330002,39.790001,53.549999,99.029999
6/6/16,152.729996,39.34,54.299999,98.629997
6/3/16,152.889999,39.209999,53.450001,97.919998
6/2/16,153.5,38.84,54.529999,97.720001
6/1/16,152.509995,38.73,54.93,98.459999
5/31/16,153.740005,39.150002,55.220001,99.860001
5/27/16,152.839996,38.990002,56.189999,100.349998
5/26/16,152.440002,38.84,55.84,100.410004
5/25/16,151.690002,38.619999,55.990002,99.620003
5/24/16,148.309998,38.5,56.59,97.900002
5/23/16,146.770004,38.32,55.990002,96.43
5/20/16,147.25,38.450001,56.48,95.220001
5/19/16,144.929993,38.439999,57.040001,94.199997
5/18/16,147.339996,38.450001,56.119999,94.559998
5/17/16,148,39.110001,57.099998,93.489998
5/16/16,149.460007,39.279999,57.139999,93.879997
5/13/16,147.720001,39.150002,57.310001,90.519997
5/12/16,148.839996,39.549999,57.990002,90.339996
5/11/16,148.949997,39.18,57.009998,92.510002
5/10/16,149.970001,39.310001,59.200001,93.419998
5/9/16,147.339996,38.860001,58.720001,92.790001
5/6/16,147.289993,38.990002,58.43,92.720001
5/5/16,146.470001,38.740002,58.189999,93.239998
5/4/16,144.25,38.880001,59.110001,94.190002
5/3/16,144.130005,38.91,59.52,95.18
5/2/16,145.270004,39.099998,59.59,93.639999
4/29/16,145.940002,38.82,58.939999,93.739998
4/28/16,147.070007,38.639999,58.540001,94.830002
4/27/16,150.470001,38.720001,59.27,97.82
4/26/16,149.080002,38.09,59.540001,104.349998
4/25/16,148.809998,38.209999,59.209999,105.080002
4/22/16,148.5,38.07,59.43,105.68
4/21/16,149.300003,37.860001,60.080002,105.970001
4/20/16,146.110001,38.720001,59.619999,107.129997
4/19/16,144,38.919998,59.560001,106.910004
4/18/16,152.529999,38.650002,59.57,107.480003
4/15/16,151.720001,38.48,59.5,109.849998
4/14/16,151.160004,38.419998,59.490002,112.099998
4/13/16,151.229996,38.25,59.580002,112.040001
4/12/16,149.630005,38.669998,58.549999,110.440002
4/11/16,149.25,38.389999,57.919998,109.019997
4/8/16,149.350006,38.5,59.419998,108.660004
4/7/16,148.25,38.59,60.299999,108.540001
4/6/16,150.020004,38.639999,60.310001,110.959999
4/5/16,150,39.189999,59.669998,109.809998
4/4/16,152.070007,39.360001,59.970001,111.120003
4/1/16,152.520004,39.049999,61.59,109.989998
3/31/16,151.449997,39.169998,61.470001,108.989998
3/30/16,148.410004,39.369999,62.040001,109.559998
3/29/16,149.330002,39.450001,61.490002,107.68
3/28/16,148.399994,39.07,61.34,105.190002
3/24/16,147.949997,38.880001,61.650002,105.669998
3/23/16,145.399994,38.540001,62.439999,106.129997
3/22/16,148.100006,38.630001,64.900002,106.720001
3/21/16,148.630005,38.919998,64.720001,105.910004
3/18/16,147.089996,38.560001,62.990002,105.919998
3/17/16,147.039993,39.119999,63.18,105.800003
3/16/16,144.789993,38.77,61.860001,105.970001
3/15/16,142.960007,38.52,61.400002,104.580002
3/14/16,142.779999,38.32,60.810001,102.519997
3/11/16,142.360001,38.360001,60.080002,102.260002
3/10/16,140.190002,38.310001,58.880001,101.169998
3/9/16,140.410004,37.98,58.330002,101.120003
3/8/16,139.070007,38.09,59.810001,101.029999
3/7/16,140.149994,38.130001,59.25,101.870003
3/4/16,137.800003,37.93,61.259998,103.010002
3/3/16,137.800003,37.990002,61.470001,101.5
3/2/16,136.300003,37.689999,62.220001,100.75
3/1/16,134.369995,37.389999,62.919998,100.529999
2/29/16,131.029999,36.950001,61.59,96.690002
2/26/16,132.029999,37.130001,62.599998,96.910004
2/25/16,134.5,37.369999,62.380001,96.760002
2/24/16,132.800003,37.099998,60.400002,96.099998
2/23/16,132.399994,36.740002,60.209999,94.690002
2/22/16,133.770004,36.860001,60.169998,96.879997
2/19/16,133.080002,36.57,59.310001,96.040001
2/18/16,132.449997,36.990002,58.599998,96.260002
2/17/16,126.099998,36.639999,58.169998,98.120003
2/16/16,122.739998,36.650002,57.790001,96.639999
2/12/16,121.040001,36.470001,56.419998,93.989998
2/11/16,117.849998,36.209999,56,93.699997
2/10/16,120.190002,36.43,57.41,94.269997
2/9/16,124.07,36.650002,55.68,94.989998
2/8/16,126.980003,37.110001,55.040001,95.010002
2/5/16,128.570007,36.880001,57.169998,94.019997
2/4/16,127.650002,36.529999,60.169998,96.599998
2/3/16,124.720001,36.720001,62.490002,96.349998
2/2/16,122.940002,36.060001,62.549999,94.480003
2/1/16,124.830002,36.18,63.16,96.43
1/29/16,124.790001,36.060001,62.009998,97.339996
1/28/16,122.220001,35.529999,61.200001,94.089996
